mut prob= 0,6
pop size= 50
tournament= 7

---Time reading file and creating Cities: 5.123275279998779 seconds ---

Calculating distances...
---Time Calculating distances: 0.05874156951904297 seconds ---

Searching for shortest way possible...
Calculating GA_loop
Creates the population:
Finished Creation of the population
Generation: 346, elapsed_time: 73.5 s, best route: 35333.52
Generation: 347, elapsed_time: 73.6 s, best route: 35333.52
Generation: 348, elapsed_time: 73.8 s, best route: 35333.52
Generation: 349, elapsed_time: 74.1 s, best route: 35291.84
Generation: 350, elapsed_time: 74.3 s, best route: 35291.84
Generation: 351, elapsed_time: 74.5 s, best route: 35291.84
Generation: 352, elapsed_time: 74.7 s, best route: 35291.84
Generation: 353, elapsed_time: 74.9 s, best route: 35291.84
Generation: 354, elapsed_time: 75.2 s, best route: 35259.68
Generation: 355, elapsed_time: 75.4 s, best route: 35259.68
Generation: 356, elapsed_time: 75.7 s, best route: 35259.51
Generation: 357, elapsed_time: 75.9 s, best route: 35259.51
Generation: 358, elapsed_time: 76.1 s, best route: 35259.51
Generation: 359, elapsed_time: 76.4 s, best route: 35251.23
Generation: 360, elapsed_time: 76.6 s, best route: 35150.38
Generation: 361, elapsed_time: 76.9 s, best route: 34715.16
Generation: 362, elapsed_time: 77.1 s, best route: 34715.16
Generation: 363, elapsed_time: 77.3 s, best route: 34715.16
Generation: 364, elapsed_time: 77.6 s, best route: 34396.35
Generation: 365, elapsed_time: 77.8 s, best route: 34396.35
Generation: 366, elapsed_time: 78.0 s, best route: 34396.35
Generation: 367, elapsed_time: 78.2 s, best route: 34392.15
Generation: 368, elapsed_time: 78.4 s, best route: 34392.15
Generation: 369, elapsed_time: 78.6 s, best route: 34392.15
Generation: 370, elapsed_time: 78.9 s, best route: 34392.15
Generation: 371, elapsed_time: 79.2 s, best route: 34382.65
Generation: 372, elapsed_time: 79.4 s, best route: 34382.65
Generation: 373, elapsed_time: 79.7 s, best route: 34371.29
Generation: 374, elapsed_time: 79.9 s, best route: 34220.65
Generation: 375, elapsed_time: 80.1 s, best route: 34220.65
Generation: 376, elapsed_time: 80.4 s, best route: 34152.11
Generation: 377, elapsed_time: 80.6 s, best route: 34152.11
Generation: 378, elapsed_time: 80.8 s, best route: 34152.11
Generation: 379, elapsed_time: 81.1 s, best route: 34113.60
Generation: 380, elapsed_time: 81.3 s, best route: 34094.97
Generation: 381, elapsed_time: 81.5 s, best route: 34094.97
Generation: 382, elapsed_time: 81.7 s, best route: 34094.97
Generation: 383, elapsed_time: 82.0 s, best route: 34090.97
Generation: 384, elapsed_time: 82.2 s, best route: 34090.97
Generation: 385, elapsed_time: 82.5 s, best route: 33897.68
Generation: 386, elapsed_time: 82.8 s, best route: 33684.87
Generation: 387, elapsed_time: 83.1 s, best route: 33630.33
Generation: 388, elapsed_time: 83.3 s, best route: 33630.33
Generation: 389, elapsed_time: 83.5 s, best route: 33548.84
Generation: 390, elapsed_time: 83.8 s, best route: 33538.85
Generation: 391, elapsed_time: 84.0 s, best route: 33538.85
Generation: 392, elapsed_time: 84.2 s, best route: 33538.85
Generation: 393, elapsed_time: 84.4 s, best route: 33538.85
Generation: 394, elapsed_time: 84.6 s, best route: 33538.85
Generation: 395, elapsed_time: 84.8 s, best route: 33538.85
Generation: 396, elapsed_time: 85.1 s, best route: 33446.53
Generation: 397, elapsed_time: 85.3 s, best route: 33446.53
Generation: 398, elapsed_time: 85.5 s, best route: 33446.53
Generation: 399, elapsed_time: 85.7 s, best route: 33446.53
Generation: 400, elapsed_time: 85.9 s, best route: 33446.53
Generation: 401, elapsed_time: 86.1 s, best route: 33446.53
Generation: 402, elapsed_time: 86.2 s, best route: 33446.53
Generation: 403, elapsed_time: 86.4 s, best route: 33446.53
Generation: 404, elapsed_time: 86.6 s, best route: 33446.53
Generation: 405, elapsed_time: 86.8 s, best route: 33050.88
Generation: 406, elapsed_time: 87.0 s, best route: 33050.88
